trial_nr	onset	event_type	phase	response	nr_frames	condition	onset_abs	duration
138	191.23100996017456	stim	0		30	horizontal	367.30838680267334	0.2500181198120117
139	191.48102807998657	stim	0		30	horizontal	367.55840492248535	0.2500298023223877
140	191.73105788230896	stim	0		30	horizontal	367.80843472480774	0.2499852180480957
141	191.98104310035706	stim	0		30	horizontal	368.05841994285583	0.24994897842407227
141	192.18945002555847	pulse	0	t		horizontal	368.26682686805725	
142	192.23099207878113	stim	0		30	horizontal	368.3083689212799	0.2500448226928711
143	192.481036901474	stim	0		30	horizontal	368.5584137439728	0.24999713897705078
143	192.48219895362854	response	0	b		horizontal	368.5595757961273	
144	192.73103404045105	stim	0		30	horizontal	368.80841088294983	0.24995803833007812
145	192.98099207878113	stim	0		30	horizontal	369.0583689212799	0.25005292892456055
146	193.2310450077057	stim	0		30	horizontal	369.30842185020447	0.24998998641967773
146	193.30611395835876	pulse	0	t		horizontal	369.38349080085754	
147	193.48103499412537	stim	0		30	horizontal	369.55841183662415	0.24997901916503906
148	193.7310140132904	stim	0		30	horizontal	369.8083908557892	0.25000786781311035
149	193.98102188110352	stim	0		30	horizontal	370.0583987236023	0.24999618530273438
150	194.23101806640625	stim	0		30	horizontal	370.30839490890503	0.25005102157592773
150	194.41445994377136	pulse	0	t		horizontal	370.49183678627014	
151	194.48106908798218	stim	0		30	horizontal	370.55844593048096	0.2499558925628662
152	194.73102498054504	stim	0		30	horizontal	370.8084018230438	0.2499089241027832
153	194.98093390464783	stim	0		30	horizontal	371.0583107471466	0.25015997886657715
154	195.2310938835144	stim	0		30	horizontal	371.3084707260132	0.24994802474975586
155	195.48104190826416	stim	0		30	horizontal	371.55841875076294	0.249953031539917
155	195.52278208732605	pulse	0	t		horizontal	371.60015892982483	
156	195.73099493980408	stim	0		30	horizontal	371.80837178230286	0.2500150203704834
157	195.98100996017456	stim	0		30	horizontal	372.05838680267334	0.24992609024047852
158	196.23093605041504	stim	0		30	horizontal	372.3083128929138	0.2500760555267334
158	196.3227219581604	response	0	b		horizontal	372.4000988006592	
159	196.48101210594177	stim	0		30	horizontal	372.55838894844055	0.24999785423278809
159	196.63940811157227	pulse	0	t		horizontal	372.71678495407104	
160	196.73100996017456	stim	0		30	horizontal	372.80838680267334	0.24996709823608398
161	196.98097705841064	stim	0		30	horizontal	373.0583539009094	0.25003504753112793
162	197.23101210594177	stim	0		30	horizontal	373.30838894844055	0.2500038146972656
163	197.48101592063904	stim	0		30	horizontal	373.5583927631378	0.2499840259552002
164	197.73099994659424	stim	0		30	horizontal	373.808376789093	0.2500290870666504
164	197.74771809577942	pulse	0	t		horizontal	373.8250949382782	
165	197.9810290336609	stim	0		30	horizontal	374.05840587615967	0.2500119209289551
166	198.23104095458984	stim	0		30	horizontal	374.3084177970886	0.24992799758911133
167	198.48096895217896	stim	0		30	horizontal	374.55834579467773	0.25004005432128906
167	198.71441507339478	response	0	b		horizontal	374.79179191589355	
168	198.73100900650024	stim	0		30	horizontal	374.808385848999	0.24991297721862793
